t_wall_ns,objects,confirmed,avg_hits,upserts_total,ingest_q
89244729678096,0,0,0.0,0,0
89245728821903,0,0,0.0,0,0
89246729128282,0,0,0.0,0,0
89247728955949,0,0,0.0,0,0
89248728617333,0,0,0.0,0,4
89249728079597,0,0,0.0,0,7
89250727602818,0,0,0.0,0,13
89251729060623,3,0,1.3333333333333333,0,17
89252729556665,3,0,1.3333333333333333,0,20
89253729544541,3,0,1.3333333333333333,0,23
89254730087940,4,0,1.25,0,26
89255727646723,4,0,1.25,0,30
89256728774107,6,0,1.1666666666666667,0,33
89257728637701,5,0,1.0,0,36
89258728180583,6,0,2.0,0,38
89259728252260,6,0,2.0,0,43
89260728303292,8,1,1.875,0,45
89261730095611,8,1,1.875,0,48
89262727578184,8,1,1.875,0,51
89263728554608,11,1,1.7272727272727273,0,54
89264728483563,13,1,1.6923076923076923,0,56
89265729099656,11,1,2.0,0,59
89266735187300,12,2,2.4166666666666665,0,62
89267728084489,12,2,2.4166666666666665,0,65
89268727996734,12,2,2.5,0,67
89269727988919,18,2,2.0,0,71
89270728476453,18,2,2.0,0,75
89271728775391,17,2,2.3529411764705883,0,77
89272728864564,12,3,2.8333333333333335,0,79
89273728096125,10,3,3.1,0,81
89274728316000,9,3,4.0,0,84
89275728273001,9,3,4.0,0,88
89276728251071,12,4,3.1666666666666665,0,91
89277729648840,17,4,2.7058823529411766,0,93
89278728356897,21,4,2.4285714285714284,0,95
89279728885269,18,4,2.5,0,97
89280727609159,19,4,2.4210526315789473,0,101
89281728757645,19,4,2.4210526315789473,0,106
89282728832438,18,4,2.5555555555555554,0,108
89283729083134,13,4,2.923076923076923,0,111
89284728978573,12,4,3.0,0,113
89285729363104,12,4,2.8333333333333335,0,117
89286729624312,12,4,3.25,0,117
89287727782558,14,4,3.0,0,120
89288728534015,14,4,3.0,0,122
89289726942628,14,4,3.2857142857142856,0,126
