t_wall_ns,seq,t_sensor_ns,latency_ms,status,bytes_out,ok
1779110167644499441,0,1779110167389442627,53.811,200,261885,1
1779110167992413232,2,1779110167723510010,41.084,200,262699,1
1779110168309967718,4,1779110168057577637,36.933,200,249535,1
1779110168488505317,5,1779110168224612549,38.406,200,242245,1
1779110168690461652,6,1779110168391646240,37.217,200,236552,1
1779110168979448200,8,1779110168726004395,37.045,200,233799,1
1779110169285182428,10,1779110169060681152,17.422,200,217993,1
1779110169488347282,11,1779110169228033447,27.907,200,215924,1
1779110169797612545,13,1779110169562760254,21.349,200,218045,1
1779110169967440347,14,1779110169729763428,32.960,200,219463,1
1779110170136851171,15,1779110169896764160,35.016,200,210448,1
1779110170305264499,16,1779110170063763428,34.857,200,205035,1
1779110170477743369,17,1779110170230761475,35.135,200,199762,1
1779110170644614934,18,1779110170397758057,34.918,200,196727,1
1779110170822203956,19,1779110170564754150,35.101,200,196476,1
1779110171125755507,21,1779110170898756836,37.408,200,202001,1
1779110171300822657,22,1779110171065756348,33.263,200,196619,1
1779110171468493227,23,1779110171232755615,35.050,200,197476,1
1779110171639851591,24,1779110171399752197,33.680,200,190114,1
1779110171824044937,25,1779110171566748535,33.831,200,194314,1
1779110172146668587,27,1779110171900758301,35.509,200,196129,1
1779110172331466890,28,1779110172067761719,33.433,200,194759,1
1779110172645475683,30,1779110172401764893,34.489,200,188678,1
1779110172815295649,31,1779110172568765625,34.874,200,193653,1
1779110173139677322,33,1779110172902769043,34.399,200,190289,1
1779110173315059904,34,1779110173069768066,34.743,200,189306,1
1779110173481786672,35,1779110173236765869,32.724,200,189038,1
1779110173807136783,37,1779110173570758057,34.471,200,187179,1
1779110174143535925,39,1779110173904761719,34.751,200,191711,1
1779110174333951758,40,1779110174071761475,34.994,200,194085,1
1779110174506822555,41,1779110174238760742,35.283,200,194625,1
1779110174807246627,43,1779110174572754395,19.650,200,195686,1
1779110174977123748,44,1779110174739767334,35.044,200,192057,1
1779110175321553411,46,1779110175073791260,36.742,200,198717,1
1779110175648232685,48,1779110175407812500,34.016,200,199455,1
