t_wall_ns,objects,confirmed,avg_hits,upserts_total,ingest_q
88888614989740,0,0,0.0,0,0
88889613825917,0,0,0.0,0,0
88890613852556,0,0,0.0,0,0
88891632968178,0,0,0.0,0,1
88892613665469,0,0,0.0,0,3
88893613507514,0,0,0.0,0,6
88894613177222,0,0,0.0,0,9
88895612328829,11,0,1.0909090909090908,0,11
88896614469341,11,0,1.0909090909090908,0,13
88897612620326,12,0,2.0,0,15
88898612538366,13,0,2.769230769230769,0,17
88899613108319,13,0,2.769230769230769,0,20
88900615955742,12,1,3.9166666666666665,0,21
88901612330477,12,1,3.9166666666666665,0,24
88902613644020,12,10,4.916666666666667,0,26
88903612265669,12,11,5.916666666666667,0,28
88904613649266,12,11,5.916666666666667,0,31
88905613257451,14,12,5.928571428571429,0,33
88906613676118,14,12,6.071428571428571,0,35
88907613955088,14,12,6.071428571428571,0,38
88908612915918,17,12,5.176470588235294,0,38
88909613074562,17,12,5.176470588235294,0,40
88910613873140,18,12,4.944444444444445,0,41
88911612911043,16,12,5.4375,0,42
88912613742172,26,12,3.730769230769231,0,44
88913613403902,26,12,3.730769230769231,0,47
88914619316091,24,12,4.291666666666667,0,49
88915613674968,30,12,3.6333333333333333,0,51
88916614030703,32,12,3.6875,0,53
88917613715223,33,12,3.606060606060606,0,56
88918612638922,34,12,3.6176470588235294,0,58
88919613058577,27,12,4.296296296296297,0,59
88920613000922,27,14,4.62962962962963,0,61
88921612456736,27,14,4.62962962962963,0,64
88922614174203,25,15,5.04,0,66
88923613999776,31,15,4.354838709677419,0,68
88924613032582,35,18,4.171428571428572,0,70
88925613139689,35,18,4.171428571428572,0,73
88926612932511,32,19,4.5625,0,75
88927614066740,33,19,4.636363636363637,0,77
88928613157395,31,19,4.870967741935484,0,79
88929612685220,29,19,5.137931034482759,0,81
88930613416077,29,19,5.137931034482759,0,84
88931612709984,29,19,5.0344827586206895,0,86
88932615973577,31,20,4.741935483870968,0,88
88933613897655,31,20,4.741935483870968,0,91
88934613366262,30,21,5.066666666666666,0,93
88935613171410,31,22,5.064516129032258,0,95
88936612619283,31,22,5.064516129032258,0,98
88937618274533,32,22,5.03125,0,100
88938613006708,36,22,4.638888888888889,0,102
88939613664893,36,22,4.638888888888889,0,105
88940614442549,37,22,4.621621621621622,0,107
88941616720092,38,24,4.552631578947368,0,109
88942612888036,38,24,4.552631578947368,0,112
88943613716950,38,24,4.552631578947368,0,114
88944612740833,35,24,4.8,0,117
88945613217368,35,24,4.742857142857143,0,119
88946613609446,38,24,4.5,0,120
88947615913615,33,24,5.03030303030303,0,122
88948623480737,37,24,4.594594594594595,0,124
88949613160389,37,24,4.594594594594595,0,127
88950613711900,38,24,4.5,0,129
