t_wall_ns,seq,t_sensor_ns,latency_ms,status,bytes_out,ok
1779109811765387167,0,1779109811777582764,55.133,200,260340,1
1779109812080858781,2,1779109812111638184,30.899,200,260172,1
1779109812411705413,4,1779109812445691895,40.924,200,260655,1
1779109812753651417,6,1779109812779748291,40.039,200,261288,1
1779109813073636738,8,1779109813113806885,40.676,200,262163,1
1779109813411566753,10,1779109813447866455,36.374,200,262011,1
1779109813720917752,12,1779109813781924561,34.282,200,234832,1
1779109814058396061,14,1779109814115982422,34.160,200,241675,1
1779109814426343822,16,1779109814450039795,38.511,200,259266,1
1779109814734165251,18,1779109814784099854,38.691,200,257556,1
1779109815122661395,20,1779109815118820068,40.448,200,247466,1
1779109815420915390,22,1779109815453580322,36.733,200,225053,1
1779109815735600797,24,1779109815788375977,36.422,200,209073,1
1779109816086848017,26,1779109816122363770,36.037,200,209568,1
1779109816576274578,27,1779109816623335205,37.073,200,202221,1
1779109816923783195,29,1779109816957325195,35.027,200,205226,1
1779109817237866859,31,1779109817291324951,37.659,200,213897,1
1779109817592390960,33,1779109817625319580,38.059,200,213448,1
1779109817923094788,35,1779109817959312256,38.112,200,208549,1
1779109818393700152,36,1779109818460289551,18.267,200,202334,1
1779109818750316720,38,1779109818794267822,31.014,200,208500,1
1779109819096983646,40,1779109819128258545,37.965,200,218865,1
1779109819426742432,42,1779109819462244141,37.431,200,220788,1
1779109819765887259,44,1779109819796223633,35.466,200,220780,1
1779109820113287575,46,1779109820130296387,30.541,200,235162,1
1779109820429882156,48,1779109820464368652,39.593,200,248749,1
1779109820803261869,50,1779109820798439941,40.719,200,255322,1
1779109821122375847,52,1779109821132427490,37.030,200,263423,1
1779109821461882043,54,1779109821466407471,36.588,200,269700,1
1779109821819139321,56,1779109821800381836,36.418,200,267369,1
1779109822219546280,58,1779109822134387695,39.240,200,262113,1
1779109822490372521,60,1779109822468389648,40.876,200,258225,1
1779109823065847183,61,1779109822969386475,40.548,200,264285,1
1779109823349337484,63,1779109823303381592,43.339,200,259217,1
1779109823692250736,65,1779109823637371826,20.204,200,243706,1
1779109824042843396,67,1779109823971364502,37.755,200,220779,1
1779109824362723228,69,1779109824305356689,35.421,200,195483,1
1779109824711259275,71,1779109824639343506,35.281,200,193598,1
1779109825082064120,73,1779109824973339600,36.849,200,190262,1
1779109825413343461,75,1779109825307344727,36.280,200,185519,1
1779109825739203181,77,1779109825641345703,35.946,200,184755,1
1779109826095936863,79,1779109825975336670,36.844,200,190557,1
1779109826431179412,81,1779109826309317383,36.288,200,184157,1
1779109826763294008,83,1779109826643291260,33.680,200,188193,1
1779109827086926707,85,1779109826977271729,34.636,200,190215,1
1779109827489976571,87,1779109827311255859,35.137,200,201385,1
1779109827779526548,89,1779109827645233643,37.570,200,214561,1
1779109828108767691,91,1779109827979212891,36.067,200,217521,1
1779109828794655891,93,1779109828647166504,38.144,200,221694,1
1779109829117670719,95,1779109828981145508,37.121,200,224381,1
1779109829469293501,97,1779109829315130371,36.878,200,226208,1
1779109830166272895,98,1779109829983096680,22.512,200,231463,1
1779109830479621388,100,1779109830317091064,38.070,200,234781,1
1779109830846617385,102,1779109830651079590,38.335,200,232369,1
1779109831499892811,104,1779109831319973145,38.674,200,255053,1
1779109831819185449,106,1779109831654643066,37.773,200,264964,1
1779109832337309797,107,1779109832156016113,42.373,200,254121,1
1779109832650857545,109,1779109832490035889,34.051,200,258458,1
1779109833013124403,111,1779109832824052979,39.058,200,257505,1
1779109833335163514,113,1779109833158083252,37.944,200,253983,1
1779109833665876442,115,1779109833492110107,39.009,200,258395,1
1779109834019743422,117,1779109833826134521,38.420,200,252433,1
1779109834339701700,119,1779109834160160400,39.201,200,245074,1
1779109834680550676,121,1779109834494184082,38.959,200,241568,1
1779109835036068511,123,1779109834828204102,38.462,200,239743,1
1779109835353368811,125,1779109835162244629,21.742,200,246242,1
1779109835701951445,127,1779109835496283203,39.625,200,245498,1
1779109836030268183,129,1779109835830319824,37.314,200,236213,1
1779109836372678718,131,1779109836164392090,28.550,200,223168,1
1779109836703359626,133,1779109836498466064,32.109,200,224192,1
1779109837040101550,135,1779109836832542480,38.189,200,237055,1
1779109837358104322,137,1779109837166575439,30.112,200,251537,1
1779109837705972695,139,1779109837500606689,37.208,200,245967,1
1779109838035488740,141,1779109837834635254,35.704,200,235026,1
1779109838358792986,143,1779109838168675537,40.140,200,221275,1
1779109838709219440,145,1779109838502714111,30.652,200,219975,1
1779109839027495362,147,1779109838836751221,21.896,200,215682,1
1779109839548311190,148,1779109839337802734,34.687,200,188765,1
1779109839875447649,150,1779109839671833496,31.499,200,177799,1
1779109840202396730,152,1779109840005865234,35.113,200,171541,1
1779109840515987898,154,1779109840339898193,34.699,200,179685,1
1779109840877961861,156,1779109840673929688,33.898,200,189695,1
1779109841217214100,158,1779109841007969727,35.372,200,191167,1
1779109841556242006,160,1779109841342020264,35.531,200,201044,1
1779109841886332237,162,1779109841676070068,33.968,200,192967,1
1779109842225401806,164,1779109842010141357,33.862,200,194905,1
1779109842562724646,166,1779109842344211426,36.038,200,192545,1
1779109842888584815,168,1779109842678281494,36.126,200,196709,1
1779109843230541652,170,1779109843012719727,32.684,200,197938,1
1779109843568808190,172,1779109843347575684,35.116,200,214414,1
1779109843887254970,174,1779109843682480469,35.632,200,186931,1
1779109844232279666,176,1779109844016922607,34.162,200,177286,1
1779109844548256008,178,1779109844350874023,29.606,200,180518,1
1779109844899321878,180,1779109844684816650,32.722,200,195455,1
1779109845237962050,182,1779109845018765869,35.554,200,196177,1
1779109845549978612,184,1779109845352717285,32.875,200,209857,1
1779109845894671202,186,1779109845686659912,31.398,200,204885,1
1779109846244785952,188,1779109846020610840,33.544,200,196249,1
1779109846582031744,190,1779109846354568359,35.395,200,181989,1
1779109846902366654,192,1779109846688518799,44.843,200,157209,1
1779109847234952726,194,1779109847022539063,30.656,200,146655,1
1779109847559937702,196,1779109847356640137,38.191,200,143308,1
1779109847902096964,198,1779109847690749268,31.847,200,139177,1
1779109848241425429,200,1779109848024795166,31.726,200,138762,1
1779109848570657180,202,1779109848358765381,27.228,200,134699,1
