t_wall_ns,objects,confirmed,avg_hits,upserts_total,ingest_q
85045570935757,0,0,0.0,0,0
85046570192753,0,0,0.0,0,0
85047569911773,0,0,0.0,0,0
85048569621096,0,0,0.0,0,0
85049569864663,0,0,0.0,0,0
85050570206624,0,0,0.0,0,0
85051569723311,0,0,0.0,0,0
85052569525264,0,0,0.0,0,0
85053570115144,0,0,0.0,0,0
85054570154843,0,0,0.0,0,0
85055570737746,0,0,0.0,0,0
85056570946427,0,0,0.0,0,0
85057570943533,0,0,0.0,0,0
85058569914898,0,0,0.0,0,0
85059570662207,0,0,0.0,0,0
85060570578068,0,0,0.0,0,0
85061569534202,0,0,0.0,0,0
85062569757728,0,0,0.0,0,0
85063569937160,0,0,0.0,0,0
85064570689077,0,0,0.0,0,0
85065571123985,0,0,0.0,0,0
85066570583711,0,0,0.0,0,0
85067571177652,0,0,0.0,0,0
85068570248375,0,0,0.0,0,0
85069569662090,0,0,0.0,0,0
85070569269236,0,0,0.0,0,0
85071569665591,0,0,0.0,0,0
85072568528937,0,0,0.0,0,0
85073570429091,0,0,0.0,0,0
85074569219355,0,0,0.0,0,0
85075569418990,0,0,0.0,0,0
85076569368463,0,0,0.0,0,0
85077569743772,0,0,0.0,0,0
85078569993490,0,0,0.0,0,0
85079570011862,0,0,0.0,0,0
85080569504502,0,0,0.0,0,0
85081569575164,0,0,0.0,0,0
85082569063234,0,0,0.0,0,0
85083569940163,0,0,0.0,0,0
85084569483883,0,0,0.0,0,0
85085569725970,0,0,0.0,0,0
85086569580817,0,0,0.0,0,0
85087569303577,0,0,0.0,0,0
85088570259365,0,0,0.0,0,0
85089569451151,0,0,0.0,0,0
85090570412097,0,0,0.0,0,0
85091570140214,0,0,0.0,0,0
85092569431686,0,0,0.0,0,0
85093570256874,0,0,0.0,0,0
85094569906255,0,0,0.0,0,0
85095569696560,0,0,0.0,0,0
85096569550035,0,0,0.0,0,0
85097569665708,0,0,0.0,0,0
85098570404361,0,0,0.0,0,0
85099570002118,0,0,0.0,0,0
85100569918199,0,0,0.0,0,0
85101569779599,0,0,0.0,0,0
85102569443639,0,0,0.0,0,0
85103570455261,0,0,0.0,0,0
85104569875899,0,0,0.0,0,0
85105569456471,0,0,0.0,0,0
85106569405092,0,0,0.0,0,0
85107570287494,0,0,0.0,0,0
85108569310928,0,0,0.0,0,0
85109570398322,0,0,0.0,0,0
85110569633115,0,0,0.0,0,0
85111569686976,0,0,0.0,0,0
85112569601137,0,0,0.0,0,0
85113569428654,0,0,0.0,0,0
85114570228413,0,0,0.0,0,0
85115569545505,0,0,0.0,0,0
85116569726301,0,0,0.0,0,0
85117569576114,0,0,0.0,0,0
85118569517800,0,0,0.0,0,0
85119569342188,0,0,0.0,0,0
85120569599551,0,0,0.0,0,0
85121569920118,0,0,0.0,0,0
85122570991980,0,0,0.0,0,0
85123570068436,0,0,0.0,0,0
85124570199882,0,0,0.0,0,0
85125570432675,0,0,0.0,0,0
85126569833104,0,0,0.0,0,0
85127570239118,0,0,0.0,0,0
85128570375651,0,0,0.0,0,0
85129570329225,0,0,0.0,0,0
85130569561631,0,0,0.0,0,0
85131569496406,0,0,0.0,0,0
85132569915132,0,0,0.0,0,0
