t_wall_ns,seq,t_sensor_ns,latency_ms,status,bytes_out,ok
1779110079448305244,0,1779110079195743652,54.547,200,263338,1
1779110080285618288,5,1779110080030918213,41.339,200,257767,1
1779110081121845838,8,1779110080867238037,34.260,200,256312,1
1779110081942010195,13,1779110081703582275,32.289,200,253324,1
1779110082612444514,17,1779110082371543213,33.456,200,227688,1
1779110083443405010,22,1779110083206519531,38.346,200,244052,1
1779110084110305923,26,1779110083874493164,21.468,200,217437,1
1779110084952251449,31,1779110084709454102,31.407,200,214531,1
1779110085619258011,35,1779110085377418701,22.286,200,211876,1
1779110086290461267,39,1779110086045405029,33.715,200,212681,1
1779110087112453734,44,1779110086880371826,23.709,200,197500,1
1779110087792264781,48,1779110087548337158,33.878,200,205075,1
1779110088469605233,52,1779110088216303711,33.872,200,208387,1
1779110089296163712,57,1779110089051287109,35.833,200,208520,1
1779110089963568498,61,1779110089719273682,33.469,200,190957,1
1779110090795796296,66,1779110090554248535,35.997,200,177800,1
1779110091633630638,71,1779110091389206543,34.962,200,207015,1
1779110092457317538,76,1779110092224171631,18.639,200,176257,1
1779110093293075905,81,1779110093059149170,29.081,200,219033,1
1779110094116823816,86,1779110093894121094,34.438,200,196276,1
1779110094802094282,90,1779110094562416016,35.175,200,191770,1
1779110095481363234,94,1779110095231783691,35.439,200,215883,1
1779110096323083495,99,1779110096067010742,37.051,200,207954,1
1779110097146292364,104,1779110096902474854,35.527,200,188840,1
1779110097969792369,109,1779110097738114258,31.230,200,132643,1
1779110098815395095,114,1779110098573104248,33.568,200,163642,1
1779110099635959735,119,1779110099408090820,36.407,200,189490,1
1779110100304461393,123,1779110100076109863,35.416,200,207290,1
1779110100994758833,127,1779110100744317139,37.429,200,238249,1
1779110101821516198,132,1779110101579741211,33.570,200,207493,1
1779110102493879710,136,1779110102247716309,34.885,200,199908,1
1779110103340004884,141,1779110103082970947,34.797,200,207917,1
1779110104202552199,146,1779110103918054932,31.473,200,216034,1
1779110104985267385,151,1779110104752948975,36.190,200,208087,1
1779110105815947699,156,1779110105587888916,38.162,200,211182,1
1779110106649773506,161,1779110106423060791,36.493,200,214970,1
1779110107377095649,165,1779110107090954590,34.811,200,186219,1
1779110108268565607,170,1779110107925809082,36.635,200,210538,1
1779110108987966487,173,1779110108760663574,30.686,200,137307,1
1779110109682269334,177,1779110109428541504,34.966,200,210532,1
1779110110353415243,181,1779110110096443848,39.914,200,256268,1
1779110111370039751,185,1779110111099065186,38.745,200,243243,1
1779110112187497732,188,1779110111934491455,37.416,200,235684,1
1779110113028673467,193,1779110112769536621,32.495,200,198016,1
1779110113845157627,198,1779110113604576904,37.657,200,243193,1
1779110114544646668,202,1779110114272625244,37.918,200,260045,1
1779110115359693266,207,1779110115107662598,38.090,200,239212,1
1779110116045252282,211,1779110115775694580,39.380,200,229312,1
1779110116719013360,215,1779110116443732178,42.482,200,246328,1
1779110117530080304,220,1779110117279085693,39.188,200,255660,1
1779110118337603149,225,1779110118114253174,24.944,200,259926,1
1779110119062752379,229,1779110118782421387,30.635,200,259576,1
1779110119756298570,233,1779110119450694092,40.775,200,260364,1
