t_wall_ns,objects,confirmed,avg_hits,upserts_total,ingest_q
89156528176020,0,0,0.0,0,0
89157526670579,0,0,0.0,0,0
89158526577467,0,0,0.0,0,0
89159527908292,0,0,0.0,0,0
89160526423822,0,0,0.0,0,1
89161524625680,0,0,0.0,0,2
89162525604342,10,0,1.2,0,3
89163526671188,10,0,1.2,0,4
89164527396558,13,0,1.1538461538461537,0,4
89165524554772,13,0,1.1538461538461537,0,6
89166525550551,20,0,1.2,0,6
89167526761332,22,0,1.1818181818181819,0,6
89168527176064,12,0,1.1666666666666667,0,7
89169526337583,12,0,1.1666666666666667,0,8
89170526718289,15,0,1.3333333333333333,0,8
89171526768788,8,0,1.375,0,9
89172525939626,12,0,1.5,0,9
89173525179969,12,0,1.5,0,10
89174526648863,16,0,1.4375,0,10
89175526359480,16,0,1.3125,0,11
89176526219258,18,0,1.2777777777777777,0,11
89177535013101,18,0,1.2777777777777777,0,11
89178525949706,18,0,1.2777777777777777,0,12
89179526452478,21,0,1.3333333333333333,0,13
89180526217631,25,0,1.24,0,13
89181525378022,25,0,1.24,0,14
89182526262317,27,0,1.2962962962962963,0,15
89183525287832,27,0,1.2592592592592593,0,15
89184526651717,24,0,1.25,0,15
89185527237904,24,0,1.1666666666666667,0,15
89186526324303,17,0,1.2352941176470589,0,16
89187527765432,15,0,1.1333333333333333,0,16
89188526138927,10,0,1.2,0,16
89189524910888,6,0,1.1666666666666667,0,17
89190525946977,6,0,1.1666666666666667,0,18
89191527234355,6,0,1.1666666666666667,0,18
89192526585431,7,0,1.1428571428571428,0,18
89193525879863,7,0,1.1428571428571428,0,18
89194527472425,8,0,1.0,0,19
89195526709873,7,0,1.0,0,19
89196532991415,6,0,1.0,0,19
89197526126914,7,1,1.5714285714285714,0,20
89198526223442,7,1,1.5714285714285714,0,21
89199526813631,8,1,1.625,0,21
