t_wall_ns,seq,t_sensor_ns,latency_ms,status,bytes_out,ok
1779109932288002351,0,1779109932040700439,54.914,200,261650,1
1779109932627089299,2,1779109932374733643,32.646,200,263250,1
1779109933127267303,5,1779109932875777344,37.278,200,262357,1
1779109933461484663,7,1779109933209812744,39.670,200,262956,1
1779109933802324559,9,1779109933543845703,20.567,200,261966,1
1779109934316523240,12,1779109934044900635,27.709,200,261867,1
1779109934782789207,15,1779109934545968506,35.923,200,260242,1
1779109935275149157,18,1779109935047034668,45.030,200,261736,1
1779109935631218357,20,1779109935381078613,40.400,200,262307,1
1779109936122184880,23,1779109935882139893,42.229,200,262667,1
1779109936458264767,25,1779109936216204102,37.541,200,260586,1
1779109936796690224,27,1779109936550269043,35.350,200,260272,1
1779109937286509164,30,1779109937051356201,37.080,200,262392,1
1779109937790908775,33,1779109937552415771,40.644,200,263443,1
1779109938138503674,35,1779109937886453857,38.990,200,263758,1
1779109938616148555,38,1779109938387510010,22.641,200,261862,1
1779109938982717168,40,1779109938721543945,18.952,200,262251,1
1779109939325313474,42,1779109939055875732,39.647,200,261657,1
1779109939794236119,45,1779109939557874512,39.287,200,261836,1
1779109940137118084,47,1779109939892581543,40.319,200,262514,1
1779109940479703582,49,1779109940226560059,23.132,200,261575,1
1779109940963346679,52,1779109940727513916,38.035,200,262353,1
1779109941480757031,55,1779109941228473389,26.970,200,261732,1
1779109941817435694,57,1779109941562442383,39.765,200,262949,1
1779109942321939983,60,1779109942063401367,36.311,200,262686,1
1779109942811783852,63,1779109942564381592,38.818,200,261575,1
1779109943148333590,65,1779109942898362305,27.850,200,262552,1
1779109943643705137,68,1779109943399325928,41.792,200,261632,1
1779109943993827077,70,1779109943733292480,38.955,200,261882,1
1779109944334368410,72,1779109944067268555,38.460,200,261219,1
1779109944808778555,75,1779109944568243408,40.792,200,262586,1
1779109945156897001,77,1779109944902218506,39.692,200,263353,1
1779109945629316313,80,1779109945403363037,38.449,200,260471,1
1779109945979524154,82,1779109945737469482,37.579,200,261661,1
1779109946315900107,84,1779109946071532715,40.875,200,261034,1
1779109946672765639,86,1779109946405546387,34.028,200,262461,1
1779109947037047229,88,1779109946739556641,41.014,200,262802,1
1779109947483938643,91,1779109947240572754,39.170,200,263257,1
1779109947826619183,93,1779109947574579102,39.362,200,261879,1
1779109948161932772,95,1779109947908580811,40.005,200,262101,1
1779109948495474986,97,1779109948242582031,40.244,200,261176,1
1779109948976010586,100,1779109948743574951,36.006,200,261276,1
1779109949498542581,103,1779109949244573975,40.181,200,242032,1
1779109949836406137,105,1779109949578573242,38.599,200,251299,1
1779109950304804896,108,1779109950079568848,35.714,200,259845,1
1779109950649933007,110,1779109950413568115,37.491,200,266595,1
1779109950994238983,112,1779109950747561035,39.623,200,267941,1
1779109951331049586,114,1779109951081574463,39.133,200,258526,1
1779109951851303712,117,1779109951583371826,38.371,200,245745,1
1779109952349855909,120,1779109952085227783,37.889,200,239005,1
1779109952827661437,123,1779109952586162598,38.416,200,238906,1
1779109953169444935,125,1779109952920108154,38.815,200,247118,1
1779109953509384956,127,1779109953254055420,40.654,200,255487,1
1779109954003079555,130,1779109953754968018,38.460,200,237241,1
1779109954344632115,132,1779109954088898682,37.830,200,228715,1
1779109954839140787,135,1779109954589829834,38.125,200,224151,1
1779109955255375847,137,1779109954923773438,37.682,200,231097,1
1779109955664098757,140,1779109955425036133,37.784,200,249545,1
1779109956162812706,143,1779109955926539307,35.079,200,229294,1
1779109956498918481,145,1779109956260729492,37.317,200,233022,1
1779109956997238126,146,1779109956761744873,39.746,200,221254,1
1779109957341366740,148,1779109957095750244,37.080,200,220531,1
1779109957865314729,151,1779109957596769287,25.497,200,225404,1
1779109958344092694,154,1779109958097780029,37.194,200,216434,1
1779109958680654045,156,1779109958431807617,36.681,200,225240,1
1779109959174289875,159,1779109958932843018,35.305,200,217958,1
1779109959666362914,162,1779109959433866699,42.125,200,213177,1
1779109960007890967,164,1779109959767874512,37.255,200,211720,1
1779109960504514765,167,1779109960268887695,37.720,200,209106,1
1779109960853962795,169,1779109960602904053,37.506,200,216096,1
1779109961341807381,172,1779109961103922852,24.124,200,209591,1
1779109961685563790,174,1779109961437944824,37.252,200,212301,1
1779109962192171472,177,1779109961938970947,32.652,200,202566,1
1779109962659692101,180,1779109962439984375,28.225,200,205220,1
1779109963023690054,182,1779109962773984863,21.051,200,210643,1
1779109963525066552,185,1779109963274996094,37.873,200,225760,1
1779109964016718196,188,1779109963776038574,37.495,200,234947,1
1779109964359579516,190,1779109964110062256,40.250,200,240930,1
1779109964872400366,193,1779109964611109131,35.806,200,224076,1
1779109965358909198,196,1779109965112148926,36.646,200,213148,1
1779109965847387876,199,1779109965613172119,33.367,200,164581,1
1779109966187906875,201,1779109965947181396,23.040,200,161587,1
1779109966684338376,204,1779109966448212646,28.595,200,150391,1
1779109967025837129,206,1779109966782237793,35.678,200,188891,1
1779109967377655652,208,1779109967116258545,36.034,200,195271,1
1779109967870709448,211,1779109967617743408,22.909,200,185873,1
1779109968368407963,214,1779109968119142334,33.729,200,193799,1
1779109968703680411,216,1779109968453214844,37.157,200,203610,1
1779109969206801724,219,1779109968954326904,37.375,200,215611,1
1779109969711930144,222,1779109969455409424,18.756,200,205829,1
1779109970191967223,225,1779109969956491211,32.447,200,204119,1
1779109970544010491,227,1779109970290549561,35.448,200,206274,1
1779109970896067712,229,1779109970624607178,36.357,200,206317,1
1779109971368070594,232,1779109971125696045,21.604,200,217144,1
1779109971717006578,234,1779109971459759766,26.601,200,219541,1
1779109972243173865,237,1779109971960853271,37.053,200,215949,1
1779109972751388333,240,1779109972462615723,36.207,200,211578,1
1779109973179424207,243,1779109972964789551,17.825,200,202409,1
1779109973615852299,245,1779109973299189697,37.182,200,195394,1
1779109974029920396,248,1779109973800162842,25.825,200,201102,1
1779109974383403470,250,1779109974134137939,36.878,200,217742,1
1779109974740398088,252,1779109974468133057,26.283,200,175586,1
1779109975248491017,255,1779109974969113770,33.198,200,153258,1
1779109975733061292,258,1779109975470160156,34.307,200,264183,1
1779109976228041848,261,1779109975971239502,39.091,200,257764,1
1779109976706890084,264,1779109976472252441,34.335,200,233454,1
1779109977055843985,266,1779109976806233643,34.834,200,202777,1
1779109977404400169,268,1779109977140209229,35.200,200,183464,1
1779109977742858488,270,1779109977474202881,33.138,200,152863,1
1779109978102495349,272,1779109977808189941,31.324,200,138260,1
1779109978550774473,275,1779109978309170654,31.617,200,138010,1
1779109978892811230,277,1779109978643163818,30.897,200,143408,1
1779109979394264145,280,1779109979144143799,39.030,200,218571,1
1779109979733947195,282,1779109979478135742,39.911,200,252544,1
1779109980086547774,284,1779109979812122070,40.467,200,261212,1
1779109980587575066,287,1779109980313104492,38.726,200,228923,1
1779109981121784603,288,1779109980814097900,39.332,200,234164,1
1779109981460247249,290,1779109981148087891,38.979,200,243076,1
1779109981898625766,293,1779109981649120361,26.996,200,259450,1
