t_wall_ns,objects,confirmed,avg_hits,upserts_total,ingest_q
84849490442346,0,0,0.0,0,0
84850473617381,0,0,0.0,0,0
84851473388859,0,0,0.0,0,0
84852473942326,0,0,0.0,0,0
84853473612878,0,0,0.0,0,0
84854473358692,0,0,0.0,0,0
84855473101402,0,0,0.0,0,0
84856473681108,0,0,0.0,0,0
84857473686146,0,0,0.0,0,0
84858473746255,0,0,0.0,0,0
84859473044854,0,0,0.0,0,0
84860473658642,0,0,0.0,0,0
84861473122518,0,0,0.0,0,0
84862472871346,0,0,0.0,0,0
84863473996000,0,0,0.0,0,0
84864472838719,0,0,0.0,0,0
84865472438821,0,0,0.0,0,0
84866472548508,0,0,0.0,0,0
84867471683288,0,0,0.0,0,0
84868472809104,0,0,0.0,0,0
84869472576059,0,0,0.0,0,0
84870473048111,0,0,0.0,0,0
84871472980122,0,0,0.0,0,0
84872473166783,0,0,0.0,0,0
84873473567456,0,0,0.0,0,0
84874473741164,0,0,0.0,0,0
84875473607655,0,0,0.0,0,0
84876472903738,0,0,0.0,0,0
84877473508611,0,0,0.0,0,0
84878473501766,0,0,0.0,0,0
84879473851680,0,0,0.0,0,0
84880473375133,0,0,0.0,0,0
84881473442380,0,0,0.0,0,0
84882473385315,0,0,0.0,0,0
84883473114280,0,0,0.0,0,0
84884473733874,0,0,0.0,0,0
84885473187596,0,0,0.0,0,0
84886473106554,0,0,0.0,0,0
84887473603386,0,0,0.0,0,0
