t_wall_ns,objects,confirmed,avg_hits,upserts_total,ingest_q
88723023749044,43,19,19.86046511627907,0,225
88724023457028,43,19,19.86046511627907,0,227
88725023419551,51,19,16.96078431372549,0,229
88726023091858,51,19,16.96078431372549,0,231
88727023918278,39,19,22.128205128205128,0,232
88728023571066,42,19,20.738095238095237,0,233
88729023728709,42,19,20.738095238095237,0,236
88730024637777,43,19,20.441860465116278,0,237
88731023384177,43,19,20.441860465116278,0,239
88732024036818,36,19,24.13888888888889,0,241
