t_wall_ns,seq,t_sensor_ns,latency_ms,status,bytes_out,ok
1779109553724714530,232,1779109553711238770,38.860,200,240119,1
1779109554083935911,234,1779109554045182861,37.679,200,249881,1
1779109554418453765,236,1779109554379133301,39.038,200,255530,1
1779109554895075149,239,1779109554880062744,39.589,200,251787,1
1779109555365449178,242,1779109555380986328,37.870,200,259840,1
1779109555706276430,244,1779109555714943604,39.107,200,252818,1
1779109556050650685,246,1779109556048891602,38.461,200,248483,1
1779109556387983922,248,1779109556382844727,38.787,200,244792,1
1779109556896119440,251,1779109556883772705,38.941,200,257528,1
1779109557364837381,254,1779109557384779297,38.827,200,247582,1
1779109557705835499,256,1779109557718911377,39.277,200,249876,1
1779109558044211946,258,1779109558053045166,39.695,200,254739,1
1779109558397105562,260,1779109558387088867,35.776,200,247854,1
1779109558876200662,263,1779109558888006104,39.763,200,264948,1
1779109559368010680,266,1779109559388910156,40.330,200,267832,1
1779109559859739394,269,1779109559889804688,36.793,200,263698,1
1779109560197769021,271,1779109560223720703,41.439,200,262971,1
1779109560546841064,273,1779109560557682617,39.833,200,253370,1
1779109561043514841,276,1779109561058609375,39.248,200,258907,1
1779109561541169561,279,1779109561559516602,36.179,200,268615,1
1779109561874729925,281,1779109561893441162,37.495,200,272039,1
1779109562377508190,284,1779109562394558350,40.808,200,271305,1
1779109562713889505,286,1779109562728999756,40.826,200,272349,1
1779109563063143837,288,1779109563063489258,40.393,200,274279,1
1779109563556130110,291,1779109563564834229,39.221,200,267662,1
1779109564039196114,294,1779109564065964844,41.634,200,267373,1
1779109564387452417,296,1779109564400018311,39.543,200,259780,1
1779109564722455894,298,1779109564734035400,40.328,200,270665,1
1779109565222451892,301,1779109565235052490,37.697,200,268353,1
1779109565556036414,303,1779109565569072998,40.419,200,267967,1
1779109566038454792,306,1779109566070093262,37.931,200,273123,1
1779109566393518852,308,1779109566404107178,39.724,200,270437,1
1779109566876139677,311,1779109566905128418,38.462,200,274143,1
1779109567230499796,313,1779109567239136230,39.733,200,270197,1
1779109567716513301,316,1779109567740434814,39.416,200,258451,1
1779109568056641890,318,1779109568074655518,39.896,200,259611,1
1779109568394092589,320,1779109568408813477,48.928,200,262606,1
1779109568887692795,323,1779109568909936279,39.343,200,261613,1
1779109569226951505,325,1779109569244017822,32.917,200,264093,1
1779109569894232411,327,1779109569912107910,40.301,200,268150,1
1779109570396796934,330,1779109570413174316,39.760,200,269114,1
1779109570730863624,332,1779109570747223145,39.422,200,267505,1
1779109571071320186,334,1779109571081270020,39.768,200,267552,1
1779109571557249666,337,1779109571582402100,20.840,200,264334,1
1779109571899814566,339,1779109571916512207,34.190,200,261483,1
1779109572236669122,341,1779109572250623291,38.866,200,263132,1
1779109572737625777,344,1779109572751685547,39.091,200,265764,1
1779109573208672261,347,1779109573252742920,29.383,200,267895,1
1779109573561610833,349,1779109573586884521,29.204,200,267683,1
1779109573899202480,351,1779109573921035645,39.143,200,266679,1
1779109574390772326,354,1779109574422229980,27.691,200,265360,1
1779109574745839362,356,1779109574756295410,36.993,200,268024,1
1779109575229317556,359,1779109575257392822,38.683,200,267455,1
1779109575576469758,361,1779109575591463867,40.999,200,267570,1
1779109576067292721,364,1779109576092570557,40.089,200,268200,1
1779109576421333154,366,1779109576426639648,39.210,200,265068,1
1779109576908836391,369,1779109576927741211,39.835,200,271549,1
1779109577425848584,372,1779109577428837646,36.953,200,268881,1
1779109577774508981,374,1779109577762892578,40.477,200,274343,1
1779109578237271702,377,1779109578263972168,17.727,200,266045,1
1779109578579984430,379,1779109578598032715,41.943,200,259749,1
1779109578935873318,381,1779109578932093262,40.623,200,263106,1
1779109579269788756,383,1779109579266151855,38.118,200,261357,1
1779109579736302431,386,1779109579767284668,38.229,200,245438,1
1779109580080581781,388,1779109580101375977,38.218,200,229538,1
1779109580427676356,390,1779109580435454834,38.116,200,208129,1
1779109580933172444,393,1779109580936547119,37.992,200,202962,1
1779109581458793174,396,1779109581437640137,39.320,200,203052,1
1779109581918944045,399,1779109581938738037,32.101,200,202694,1
1779109582254667271,401,1779109582272801758,37.400,200,208313,1
1779109582591436361,403,1779109582606865723,37.734,200,208338,1
1779109583078334081,406,1779109583107959473,34.157,200,209089,1
1779109583415551454,408,1779109583442021973,35.941,200,207773,1
1779109583751532194,410,1779109583776082031,36.711,200,207985,1
1779109584098885819,412,1779109584110141113,35.986,200,215044,1
1779109584475123907,414,1779109584444210205,38.441,200,230307,1
1779109584897565988,417,1779109584945333496,38.270,200,241090,1
1779109585285848713,419,1779109585279416748,36.520,200,239186,1
1779109585751620081,422,1779109585780516846,35.201,200,248861,1
1779109586090841097,424,1779109586114582764,39.465,200,263846,1
1779109586572317856,425,1779109586615695313,33.397,200,253517,1
